K,C,Y,X,R,S,T
32,3,32,32,3,3,1
32,32,32,32,1,1,1
32,32,16,16,3,3,2
16,32,16,16,1,1,1
1,16,1,1,1,1,1
16,1,1,1,1,1,1
96,16,16,16,1,1,1
96,96,16,16,3,3,1
24,96,16,16,1,1,1
24,16,16,16,1,1,1
1,24,1,1,1,1,1
24,1,1,1,1,1,1
144,24,16,16,1,1,1
144,144,16,16,3,3,1
24,144,16,16,1,1,1
1,24,1,1,1,1,1
24,1,1,1,1,1,1
144,24,16,16,1,1,1
144,144,8,8,3,3,2
40,144,8,8,1,1,1
2,40,1,1,1,1,1
40,2,1,1,1,1,1
240,40,8,8,1,1,1
240,240,8,8,3,3,1
40,240,8,8,1,1,1
2,40,1,1,1,1,1
40,2,1,1,1,1,1
240,40,8,8,1,1,1
240,240,4,4,3,3,2
80,240,4,4,1,1,1
5,80,1,1,1,1,1
80,5,1,1,1,1,1
480,80,4,4,1,1,1
480,480,4,4,3,3,1
80,480,4,4,1,1,1
5,80,1,1,1,1,1
80,5,1,1,1,1,1
480,80,4,4,1,1,1
480,480,4,4,3,3,1
80,480,4,4,1,1,1
5,80,1,1,1,1,1
80,5,1,1,1,1,1
480,80,4,4,1,1,1
480,480,4,4,3,3,1
112,480,4,4,1,1,1
112,80,4,4,1,1,1
7,112,1,1,1,1,1
112,7,1,1,1,1,1
672,112,4,4,1,1,1
672,672,4,4,3,3,1
112,672,4,4,1,1,1
7,112,1,1,1,1,1
112,7,1,1,1,1,1
672,112,4,4,1,1,1
672,672,4,4,3,3,1
112,672,4,4,1,1,1
7,112,1,1,1,1,1
112,7,1,1,1,1,1
672,112,4,4,1,1,1
672,672,2,2,3,3,2
192,672,2,2,1,1,1
12,192,1,1,1,1,1
192,12,1,1,1,1,1
1152,192,2,2,1,1,1
1152,1152,2,2,3,3,1
192,1152,2,2,1,1,1
12,192,1,1,1,1,1
192,12,1,1,1,1,1
1152,192,2,2,1,1,1
1152,1152,2,2,3,3,1
192,1152,2,2,1,1,1
12,192,1,1,1,1,1
192,12,1,1,1,1,1
1152,192,2,2,1,1,1
1152,1152,2,2,3,3,1
192,1152,2,2,1,1,1
12,192,1,1,1,1,1
192,12,1,1,1,1,1
1152,192,2,2,1,1,1
1152,1152,1,1,3,3,2
320,1152,1,1,1,1,1
20,320,1,1,1,1,1
320,20,1,1,1,1,1
